nada,caption,rating,caption_cleaned
3980,Esta cerrado por remodelacion,1.0,cerr remodelacion
3981,(Traducido por Google) Está en construcción  (Original) It's under construction.,1.0,construccion
3982,"(Traducido por Google) Este banco ya no está abierto. Estuve allí el 13 de mayo de 2018 y todavía se encuentra en algún tipo de renovación.  (Original) This bank is no longer open.  I was there on May 13, 2018 and it is still under some sort of renovation.",1.0,banc abiert alli 13 may 2018 todav encuentr algun tip renov
3984,"(Traducido por Google) Nunca se ha puesto a prueba mi paciencia en un banco como lo fue aquí. De hecho, los continuos niveles de servicio al cliente patético finalmente me llevaron a cerrar totalmente mi cuenta de Bancomer. Jesús, el gerente, en particular, es un tipo especial de inútil y yo honestamente (y lo digo desde el fondo de mi corazón) espero que camine frente a un autobús.  (Original) Never has my patience been tested in a bank as it was in here. In fact, the continued levels of pathetic customer service finally led me to totally close my Bancomer account. Jesús, the manager, in particular is a special type of useless and I honestly (and I mean this from the bottom of my heart) hope he walks in front of a bus.",1.0,nunc puest prueb pacienci banc aqu hech continu nivel servici client patet final llev cerr total cuent bancom jesus gerent particul tip especial inutil honest dig fond corazon esper camin frent autobus
3985,Ya saben si ya está abierto ese banco ?,4.0,sab si abiert banc
3987,Ya se tardaron mucho con la remodelación,1.0,tard remodel
3988,"pésima atención, no dejan pasar a realizar depósitos en las cajas a menos que lleves el dinero exacto, y los maquinas no sirven",1.0,pesim atencion dej pas realiz deposit caj men llev diner exact maquin sirv
3993,"La sucursal es buena en general pero este review malo es porque cada quincena una de las dos practicajas para hacer pagos deja de funcionar y se acumula la gente y se pierde por lo menos de 40 min a una hora.  Por favor arreglenlo señores de BBVA, si cada quincena es lo mismo, prevean que no suceda. Ya conocen el problema arreglenlo por favor.",1.0,sucursal buen general review mal cad quincen dos practicaj hac pag dej funcion acumul gent pierd men 40 min hor favor arreglenl señor bbva si cad quincen mism prev suced conoc problem arreglenl favor
3994,"cuidado son rateros, te cobran 1 peso x cada operacion en ventanilla",1.0,cuid rater cobr 1 pes x cad operacion ventanill
3995,Solo pase por el frontis del lugar,5.0,sol pas frontis lug
3996,"Buena atención del personal de ventanilla, muy amables y rápidos. Tienen solo tres estacionamientos, uno reservado para discapacitados, uno donde estaciona la gerente del banco y otro donde estaciona un jefe de plataforma, si vas ve a pie mejor.",1.0,buen atencion personal ventanill amabl rap sol tres estacion reserv discapacit estacion gerent banc estacion jef plataform si vas ve pie mejor
3998,Esta agencia del Banco Continental es relativamente nueva a comparación de la agencia de la Avenida República Dominicana y cuenta con una infraestructura en buen estado y con una buena cantidad de cajeros automáticos. Ubicada en la esquina de la Avenida Cuba y el Jirón Huamachuco al frente de la Iglesia San José y la Plaza San José en el distrito de Jesús María. La atención es similar al de los demás bancos BBVA,3.0,agenci banc continental relat nuev compar agenci aven republ dominican cuent infraestructur buen buen cantid cajer automat ubic esquin aven cub jiron huamachuc frent iglesi san jos plaz san jos distrit jesus mar atencion simil demas banc bbva
