nada,caption,rating,caption_cleaned
1671,Es mentira. No desinformen con los horarios. No tienen jornada contínua.,1.0,mentir desinform horari jorn continu
1673,confiable y preciso,4.0,confiabl precis
1674,"Excelente servicio, y muy buen personal.",5.0,excelent servici buen personal
1678,"me parece de mal gusto que tengan un horario de atencion segun la pag web 8 a 4pm  jordana continua,  y a la verdad no es cierto.  no atienden a la hora de medio dia ,,, deben publicar el horario d atencion",1.0,parec mal gust horari atencion segun pag web 8 4pm jordan continu verd ciert atiend hor medi dia deb public horari d atencion
1679,La oficina de la 27  tiene horario de 8-12 y 2-4 Muy inconveniente que no hayan oficinas con horario extendido,2.0,oficin 27 horari 812 24 inconvenient oficin horari extend
1680,"Estando en el banco un señor salio a contestar una llamada,  cuando iba a entrar uno de los funcionarios iba a cerrar y no le permitio ingresar , fue grosero con su proceder no le costaba nada dejarlo entrar por mas q el señor le rogo q lo dejara entrar no le permitio , no habia cerrado todavia y tenua el turno en la mano ya lo iban a llamar no lo dejo que mal , muy mal , le dio un mal trato a un cliente delante de todos los q alli estabamos; los funcionaruis deberian ser amables y cordiales.",1.0,banc señor sali contest llam iba entrar funcionari iba cerr permiti ingres groser proced cost dej entrar mas q señor rog q dej entrar permiti habi cerr todavi tenu turn man iban llam dej mal mal dio mal trat client delant q alli estab funcionaruis deberi ser amabl cordial
1681,"No vayan al al medio día, es una gran mentira el horario extendido, van a perder su tiempo.",1.0,vay medi dia gran mentir horari extend van perd tiemp
1683,No es para nada agradable que los horarios aca pupublicad no coincidan con el horario que prestan en realidad el servicio en la sede y tenga que ser perdido el tiempo de dirigirse. Creo la seriedad debe ser primordial.,1.0,agrad horari aca pupublic coincid horari prest realid servici sed ser perd tiemp dirig cre seried deb ser primordial
1684,"La atención es muy buena, el tiempo de espera fue poco Los horarios de atención son de 8am a 11:30 y de 2pm a 4:30pm no como dice en la anterior información de 9am a 4pm",5.0,atencion buen tiemp esper horari atencion 8am 1130 2pm 430pm dic anterior inform 9am 4pm
1686,Demorado el servicio los viernes,3.0,demor servici viern
1687,Horario demasiado ajustado,3.0,horari demasi ajust
1688,Banco que ofrece un horario limitado...,5.0,banc ofrec horari limit
1689,Buena atención.,5.0,buen atencion
1691,"Hay dos cajeros cajeros automaticos, en las afueras del banco y estan disponibles 24 horas.",4.0,dos cajer cajer automat afuer banc estan dispon 24 hor
1692,"Este hpta horario esta mal, el verdadero es 8 a 11 30, y de 2 a 4 30",1.0,hpta horari mal verdader 8 11 30 2 4 30
1696,"(Traducido por Google) Feliz año h  (Original) Feliz ano h,",2.0,feliz año h
1697,"Los horarios están mal pues cierran a las 3:00pm no a las 4:00pm como figura en la página, algo está mal de quién sera?",1.0,horari mal pues cierr 300pm 400pm figur pagin mal quien ser
1698,Excelente,2.0,excelent
1699,"Actualmente se encuentra fuera de servicio el cajero multifunción, lo cual evitaba hacer filas e ingresar directamente al banco, y los otros cajeros se bloquean seguidamente, de resto la atención de los empleados es buena.",3.0,actual encuentr servici cajer multifuncion evit hac fil ingres direct banc cajer bloqu seguid rest atencion emple buen
1702,"Oficina bien ubicada ,información horario errado",3.0,oficin bien ubic inform horari errad
1703,"Esta sucursal no trabaja jornada continúa, esta información que se brinda es errada.",4.0,sucursal trabaj jorn continu inform brind errad
1704,no sirve el numero telefonico,1.0,sirv numer telefon
1707,"No tiene bahía para parqueo, tampoco reciben pagos de servicios públicos , y de internet, DirecTV y otros",2.0,bah parque tampoc recib pag servici public internet directv
1709,"Excelente atención, de lo mejor en bancos",5.0,excelent atencion mejor banc
1710,Buen banco,5.0,buen banc
1713,"A mi me dijo una asesora  que  en los cajeros del BBVA no me descontaban por hacer retiros de dinero, que rabia que me fío por cada retiro que hice me descontó $ 1950",1.0,dij asesor cajer bbva descont hac retir diner rabi fio cad retir hic descont 1950
1714,coloquen el horaraio real que manejan para no perder tiempo en sus instalaciones,1.0,coloqu horarai real manej perd tiemp instal
1715,Sólo dos cajeros que son muy lentos y no dan abasto al final de mes.,3.0,sol dos cajer lent dan abast final mes
1716,muy buen servicio pero me gustaría saber el numero de teléfono donde le conteste aquí en Piedecuesta ya que el numero al que uno llama es un conmutador y no saben el numero que la sucursal de Piedecuesta,5.0,buen servici gust sab numer telefon contest aqu piedecuest numer llam conmut sab numer sucursal piedecuest
1722,Nunca contestan,1.0,nunc contest
1724,Con dos personas en fila se colapsa en servicio muy regular,2.0,dos person fil colaps servici regul
1728,Amabilidad,4.0,amabil
1731,Definan horario de la imagen con la del reporte del sistema,1.0,defin horari imag report sistem
1732,"Horario malo, ese banco estaba cerrado",1.0,horari mal banc cerr
1734,Mala atención,1.0,mal atencion
1735,"Pésimas instalaciones, los números asignados para atención son un Total desorden..... Los jóvenes que atienden son amables pero el procedimiento de atención es caótico, demoras de dos horas para una transacción de 3 minutos, y pague pues por internet, ellos  losi sons uga-uga.",5.0,pesim instal numer asign atencion total desord joven atiend amabl proced atencion caotic demor dos hor transaccion 3 minut pag pues internet losi sons ugaug
1736,(Traducido por Google) wa2se  (Original) wa2se,2.0,wa2s
1737,"(Traducido por Google) Banco BBVA muy bien ubicado en el centro comercial Santafé, con un vestíbulo muy limpio y cajeros automáticos.  El servicio al cliente es muy eficiente y rápido, las damas también son muy útiles y educadas.  Los horarios pueden ser confusos, así que asegúrese de registrarse en el momento adecuado.  (Original) Nicely located BBVA bank in Santafé mall, with a very clean lobby and ATMs.  Customer service is very efficient and quick, the ladies are also very useful and polite.  The schedules can be confusing so be sure to check in at the right time.",5.0,banc bbva bien ubic centr comercial santaf vestibul limpi cajer automat servici client eficient rap dam util educ horari pued ser confus asi asegures registr moment adecu
1739,"Muy mala atención, los cajeros no sirven y se quedan con el dinero cuando se hace un pagó de tarjeta de crédito, no hace el abono ni devuelve el dinero, Nadie responde",1.0,mal atencion cajer sirv qued diner hac pag tarjet credit hac abon devuelv diner nadi respond
1740,"Mala experiencia me confie en la informacion de la pagina y es mentira, perdi mucho tiempo y veo q ni he sido el primero",1.0,mal experient confi informacion pagin mentir perdi tiemp veo q sid primer
1741,no contestan los telefonos. pesima atención.,1.0,contest telefon pesim atencion
1743,he ido a varias sedes del BBVA  y malo el servicio la atencion pesima. No se que les pasa a los empleados del banco. Por favor Directivas tomen medidas.,1.0,ido vari sed bbva mal servici atencion pesim pas emple banc favor direct tom med
1744,"Pésimo servicio . Muy lento  sali hacer una llamada pues llevaba 20 minutos esperando.cerraron el banco y ni mi ficho valió para el ingreso y no lo habían ni pasado,Perdí mi tiempo .",1.0,pesim servici lent sali hac llam pues llev 20 minut esper cerr banc fich val ingres pas perd tiemp
1745,Hermoso centro comercial,4.0,hermos centr comercial
1747,Dentro del centro comercial,5.0,dentr centr comercial
1748,Me atendieron muy bien en la caja.,5.0,atend bien caj
1750,muy buena atención,5.0,buen atencion
1751,"Mi esposa no es cliente del BBVA pero fue al banco a depositar un dinero y le tocó un ficho con el #CE6 y despues de 45 minutos vinieron a llamar el #CE1. Ya estaba desesperada y cuando vio que apenas iban en el #CE1; tomó la decision de irse mas bien por el pesimo servicio, pero antes de hacerlo pidió ayuda a una empleada y esta le indicó y enseño como hacerlo por el cajero. Además otros clientes estaban enojados porque el cajero no tenia plata y ya habian ido a otros cajeros del BBVA. Escribo esto para ver que se les ocurre hacer para evitarle a los clientes molestias como estas y mejorar el servicio..",2.0,espos client bbva banc deposit diner toc fich ce6 despu 45 minut vin llam ce1 desesper vio apen iban ce1 tom decision irse mas bien pesim servici hac pid ayud emple indic enseñ hac cajer ademas client enoj cajer teni plat habi ido cajer bbva escrib ver ocurr hac evit client molesti mejor servici
1752,el servicio de recibir los clientes con la forma de fichos electronicos es pesima no se como funcionan llaman los pacientes que llegaron despues de uno y el servicio se hace eterno de esa manera fuera de que se dirige uno a pagar un credito de cobranza de cartera y no saben ni como hacerlo,2.0,servici recib client form fich electron pesim funcion llam pacient lleg despu servici hac etern maner dirig pag credit cobranz carter sab hac
1754,"(Traducido por Google) Cuando usan cajeros automáticos, dicen que será un cargo, pero solo le muestran una vez que haya terminado y solicitan un recibo ..... cobran 14500 pesos ... este es el más caro que he visto en Medellín. ¡Es obvio por qué no lo muestran primero como cualquier otro cajero automático porque son ladrones!  (Original) When using atm they say their  will be a charge but only show you once your done and ask for receipt.....they charge 14500 peso...this is the most expensive I've seen in Medellin. It's obvious why they don't show it first like every other atm because they're crooks!!",1.0,usan cajer automat dic carg sol muestr vez termin solicit recib cobr 14500 pes car vist medellin ¡es obvi muestr primer cualqui cajer automat ladron
1757,Representa la marca de un banco que cobra por todo...,3.0,represent marc banc cobr
1758,"Pesimo servicio, desorganizado, mal sistema de turno y solo 2 cajas.",1.0,pesim servici desorganiz mal sistem turn sol 2 caj
1759,"No habian casi clientes en el banco a las 11am y aún así me tuvieron esperando 40 minutos con la excusa de que de las 4 personas que estaban atendiendo, 3 estaban permanentemente con un cliente y la 4ta (quien me atendió finalmente) no estaba recibiendo clientes en el momento, lo cual muestra la prioridad que se le da a los clientes presenciales y así mísmo una pérdida de tiempo injustificada ya que la atención al cliente debería tener prioridad cuando es presencial. Al hacer el reclamo de por qué habían recibido clientes que llegaron después de mí, ella dijo que era porque iban para la ""Caja"" y mi petición requería atención de parte de alguna de las otras 2 personas en las ventanillas , una de las cuales estaba con un cliente, y la otra, quien me atendió, estuvo todo el tiempo en su escritorio atendiendo otras funciones, las cuales claramente podrían haber sido pausadas por 10 minutos (que fue lo que le tomó en ayudarme con mi petición) para luego seguir con su trabajo sin haberme echo desperdiciar 40 minutos sin alguna razón.",1.0,habi casi client banc 11am aun asi esper 40 minut excus 4 person atend 3 permanent client 4ta atend final recib client moment muestr priorid da client presencial asi mism perd tiemp injustific atencion client deb ten priorid presencial hac reclam recib client lleg despues dij iban caj peticion requ atencion part algun 2 person ventanill cual client atend tiemp escritori atend funcion cual clar podr hab sid paus 10 minut tom ayud peticion lueg segu trabaj hab echo desperdici 40 minut algun razon
1761,"Los numeros telefonicos no corresponden, como hago para comunicarme con uds vivo a cuatro horas de la ciudad de medellin gracias con la sucursal guayaquil porfa",5.0,numer telefon correspond hag comunic uds viv cuatr hor ciud medellin graci sucursal guayaquil porf
1763,no es cierto que atienden al medio día. tienen horario normal de bancos.,1.0,ciert atiend medi dia horari normal banc
1764,El número telefónico que aparece en la web no corresponde a la oficina de este Banco.,3.0,numer telefon aparec web correspond oficin banc
1767,Es una excelente entidad bancaria y su personal es muy afable,5.0,excelent entid bancari personal afabl
1769,Cajeros oportuno!!!!! y seguro,5.0,cajer oportun segur
1771,Es bueno muy efectivo,3.0,buen efect
1776,"De lo peor, plataforma tecnológica malísima, no se puede en ocasiones pagar por la página y toca ir a una sucursal física y con esta situación de pandemia, no dan opciones... intereses altísimos",1.0,peor plataform tecnolog malisim pued ocasion pag pagin toc ir sucursal fisic situacion pandemi dan opcion interes altis
1777,"buenos dias. soy Carlos Quiroz. a mi padre, Jesús María Quiroz, quedaron de llevarle la pensión a la casa; esto se hizo los primeros dias de Abril y, hoy 1 d e Mayo, no ha habido respuesta. fuí hasta del 15 de Abril a la sucursal de la Playa y la señora que me atendió me dijo que había que tener un poco de paciencia, pero la comida no espera, las obligaciones crediticias tampoco..... entonces, no sé, si la plata la tienen y en pleno siglo 21, porque tanta demora.",1.0,buen dias carl quiroz padr jesus mar quiroz qued llev pension cas hiz primer dias abril hoy 1 d may respuest fui 15 abril sucursal play señor atend dij ten pacienci com esper oblig creditici tampoc entonc se si plat plen sigl 21 tant demor
1779,"Cuando uno llama, le reponden que la linea no esta en servicio 😠",2.0,llam repond line servici 😠
1780,"La atención es buena, nunca me demoro 25 minutos dentro del banco, buen servicio.",4.0,atencion buen nunc demor 25 minut dentr banc buen servici
1782,Cerrado. El horario no correspinde al de la aplicación VIAJE PERDIDO,1.0,cerr horari correspind aplic viaj perd
1783,"Una estrella por q la demora para un crédito de casi 10 días diciendo q llame mañana q llame mañana y ver que nada que daban respuesta ir hasta la oficina y decir que no salio el crédito aprobado, que perdida de tiempo.",1.0,estrell q demor credit casi 10 dias dic q llam mañan q llam mañan ver dab respuest ir oficin dec sali credit aprob perd tiemp
1785,Buen Banco muy útil para el pago de mesadas a los pensionados.,5.0,buen banc util pag mes pension
1787,Pésima sucursal. 1 hora haciendo fila para atender 5 personas. Mala,2.0,pesim sucursal 1 hor hac fil atend 5 person mal
1790,No contestan por nada del mundo,1.0,contest mund
1791,No contestan,1.0,contest
1792,Pésima la información me desplazo hasta halla por qué dice abierto y resulta deque hasta las 2 abren no desinformen,1.0,pesim inform desplaz hall dic abiert result dequ 2 abren desinform
1793,No responden.,1.0,respond
1794,Muy buen servicio!,5.0,buen servici
1795,"Tienen públicos horario de sábados, pero mentira perdí la ida.",1.0,public horari sab mentir perd ida
1798,La peor atención; soy cliente con 3 productos y con varios años de antigüedad y me han atendido pésimo. Pero gracias a eso pude solicitar en otro banco compra de cartera de su TC.,1.0,peor atencion client 3 product vari años antigüed atend pesim graci pud solicit banc compr carter tc
1799,"Buen día, tan amable cambiar de la página el teléfono 2516302. Pues es el teléfono de nuestra agencia de publicidad y por lo tanto recibimos llamadas incomodas todo el día. Muchas gracias y esperamos solucionar pronto este inconveniente.",5.0,buen dia tan amabl cambi pagin telefon 2516302 pues telefon agenci public recib llam incomod dia much graci esper solucion pront inconvenient
1800,Solo atienden como a los conocidos no respetan los turnos son lentisimos pésimo servicio yo a ese banco no vuelvo la atención es pésima,1.0,sol atiend conoc respet turn lentis pesim servici banc vuelv atencion pesim
1802,Muy lenta la atencion tirando a malo,1.0,lent atencion tir mal
1804,"estoy tratando de comunicarme y ha sido imposible, suena como si estuviera descolgado, tienen alguna otra linea para poder comunicarme?",1.0,trat comunic sid impos suen si descolg algun line pod comunic
1808,No existe.,1.0,exist
1812,Lo recomiendo ampliamente  resuelven tus dudas con mucha amabilidad y t explican todo muy bien .es uno de los mejores bancos que eh entrado,5.0,recom ampli resuelv dud much amabil t explic bien mejor banc eh entrad
1814,"Cuidado con los ejecutivos de esta sucursal, al abrir una cuenta te condicionan la apertura de la misma a cambio de la activación de un seguro de vida con cargo a TDC, Débito o del mismo BBVA de forma prepotente, abusiva y engañosa; literal un asalto dentro de la misma sucursal.  Ya está el caso el Cundusef y llegaremos a las últimas consecuencias, estos son los empleados que no deben estar en la institución, hacen estas prácticas abusivas frente a la misma directora de sucursal con tal de llegar a sus metas.  Pónganse atentos y ante cualquier abuso reportentos, tomen fotografía, video y denuncien.",1.0,cuid ejecut sucursal abrir cuent condicion apertur mism cambi activ segur vid carg tdc debit mism bbva form prepotent abus engañ literal asalt dentr mism sucursal cas cundusef lleg ultim consecuent emple deb institu hac practic abus frent mism director sucursal tal lleg met pongans atent cualqui abus reportent tom fotograf vide denunci
1815,"Los ejecutivos de cuentas de esta sucursal son especialmente serviciales y amables. Aparte tiene varios cajeros automáticos. ------------------------------------------------------ 4 Años después de mi anterior comentario, tengo que decir, que aunque el personal no es el mismo, el nivel y calidad de atención continúa siendo altísimo. Mi sucursal favorita.",5.0,ejecut cuent sucursal especial servicial amabl apart vari cajer automat 4 años despues anterior comentari dec aunqu personal mism nivel calid atencion continu siend altisim sucursal favorit
1816,El día de hoy presencié como las ejecutivas de forma déspota NO quisieron ayudar a una señora mayor a cancelar una tdc. Trabajo para el área interna de BBVA los ejecutivos la conocen como #1000 ellos se jactan de que nosotros no sabemos proces o que no les queremos ayudar pero ELLOS no saben sus procesos y meten quejas UNE y de Dirección sin motivos buenos. Así que tengo desidido que procederé con una queja de DIRECCIÓN para Esa ejecutivas que no saben que ese proceso de atención o confirmación para la cancelación de tdc es bastante fácil. De momento tengo ubicado al ejecutivo ALEJANDRO que al parecer no sabe procesos así que BBVA por favor capacitarlos mejor o de plano ya despidan a personas tan INCOMPETENTES.,1.0,dia hoy presenci ejecut form despot quis ayud señor mayor cancel tdc trabaj are intern bbva ejecut conoc 1000 jact sab proc quer ayud sab proces met quej une direccion motiv buen asi desid proced quej direccion ejecut sab proces atencion confirm cancel tdc bastant facil moment ubic ejecut alejandr parec sab proces asi bbva favor capacit mejor plan despid person tan incompetent
1818,No me gusta para nada que cierren los cajeros automáticos.,2.0,gust cierr cajer automat
1819,"Un poco chico el lugar pero muy cómodo, bien ubicado y excelente atención del personal.",4.0,chic lug comod bien ubic excelent atencion personal
1821,"Muy buen banco , la zona es buena , excelente servicio",5.0,buen banc zon buen excelent servici
1823,"Al retirar en las cajas un monto minimo la cajera cuenta  el efectivo y después lo pasa a la máquina, y es ahí donde te roban ya que uno confía en que está bien (ese es el truco) y ya al entregarme no lo conté por lo mismo,y ya al guardar el dinero me percate que me faltaron $500,que mal plan que se aprovechen de la confianza de la gente pues uno cree que al pasar el dinero por la máquina que cuenta no hay falla y no es asi",1.0,retir caj mont minim cajer cuent efect despues pas maquin ahi rob conf bien truc entreg cont mism guard diner percat falt 500 mal plan aprovech confianz gent pues cre pas diner maquin cuent fall asi
1824,Excelente ubicación y atención de todo el personal muy limpio trato amable y los ejecutivos te resuelven todas tus dudas !!!! Te atienden rápido ????,5.0,excelent ubic atencion personal limpi trat amabl ejecut resuelv tod dud atiend rap
1825,Muy amables.,5.0,amabl
1827,El área de cajeros no está abierta las 24 horas del día,1.0,are cajer abiert 24 hor dia
1830,"Me gustó no hay casi gente pocos asesores pero rápidos, hay dos practicadas y cajeros",5.0,gust casi gent poc asesor rap dos practic cajer
1832,"Pésimo servicio en ventanilla, pésimo servicio de ejecutivos.",1.0,pesim servici ventanill pesim servici ejecut
1833,Muy mal servicio el área a de cajero automático esta cerrado no puedes entrar a realizar movimientos.,1.0,mal servici are cajer automat cerr pued entrar realiz movimient
1834,Esta en remodelacion,2.0,remodelacion
1835,Muy bueno,4.0,buen
1836,Bueno muy buen servicio,3.0,buen buen servici
1839,"El cajero se tragó mi depósito, espero poder tener atención con los responsables de esa sucursal y aclarar el inconveniente",1.0,cajer trag deposit esper pod ten atencion respons sucursal aclar inconvenient
1840,Muy accesible,5.0,acces
1841,"No hay organización, muy lentos al momento de pasar los turnos y una sucursal muy pequeña de acuerdo a la ubicación",1.0,organiz lent moment pas turn sucursal pequeñ acuerd ubic
1842,"Por el momento se encuentran cerrados los cajeros debido a mantenimiento , del 17 al 21 (creo)",4.0,moment encuentr cerr cajer deb manten 17 21 cre
1843,Excelente atención personalizada y asesoría,4.0,excelent atencion personaliz asesor
1844,"Es viernes y sin tanto cliente, una sucursal limpia y con cajeros automáticos y practicajas funcionando muy bien. Fácil de ubicar, casi frente al Palacio de Bellas Artes.",4.0,viern client sucursal limpi cajer automat practicaj funcion bien facil ubic casi frent palaci bell artes
1846,"Puuuues, es entendible que por la zona en donde esta ubicada haya mucha gente y solo algunos cajeros esten disponibles.El trato personalmente que a mi me toco por parte de l@s chicos que entregan tickets para pasar a un ejecutivo fue bueno a pesar que habia muchisima gente ellos estaban tratando a todos de la misma manera.Por otro lado los ejecutivo si eran muy poco eticos ya que te veian esperando y se tomaban su tiempo en llamarte para atenderte o se ponian a platicar con otros compañeros.",3.0,puuuu entend zon ubic much gent sol cajer esten dispon trat personal toc part ls chic entreg tickets pas ejecut buen pes habi muchisim gent trat mism maner lad ejecut si etic vei esper tom tiemp llamart atendert poni platic compañer
1847,Quiero una practicaja en Lindavista Norte y no hay manera,1.0,quier practicaj lindav nort maner
1848,(Traducido por Google) Me gusta  (Original) Like,5.0,gust
1849,3 Practicajas fuera de servicio 1 cajero solo con retiro sin tarjeta 😐 Mucha gente Creo que seria bueno que pusieran mas atención en arreglar sus cajeros,2.0,3 practicaj servici 1 cajer sol retir tarjet 😐 much gent cre seri buen pus mas atencion arregl cajer
1850,"La verdad todos muy amables, me atendieron sin problema y resolvieron dudas que en otros lugares solo me decían ""vuelva otro día"" o no sabían, pero aquí no, buen servicio!",5.0,verd amabl atend problem resolv dud lugar sol dec vuelv dia sab aqu buen servici
1851,"Pésimo servicio de los ejecutivos, tiempo de espera larguísimo, y pasan a clientes sin respetar el numero de turno.",1.0,pesim servici ejecut tiemp esper larguisim pas client respet numer turn
1852,Ya no esta abierto,1.0,abiert
1853,Sucursal cerrada,1.0,sucursal cerr
1854,Ya está en servicio nuevamente.,5.0,servici nuev
1855,"El lugar se encuentra cerrado por las mañanas a pesar de tener un disclaimer que indica se encuentra abierto las 24 horas los 365 días del año, en bancomer ya levantaron un reporte desde redes sociales sin embargo hasta el momento continúa igual.",2.0,lug encuentr cerr mañan pes ten disclaim indic encuentr abiert 24 hor 365 dias año bancom levant report red social embarg moment continu igual
1856,"No existe esta sucursal, no esta en servicio! Actualicen!",1.0,exist sucursal servici actualic
1858,Ya no existe este sitio.,1.0,exist siti
1859,"La señorita en caja 1 hoy en la mañana no me quería ayudar porque no tengo apellido materno, me dijo que el sistema no lo permitía...",1.0,señorit caj 1 hoy mañan quer ayud apell matern dij sistem permit
1860,Ya no existe😡😡 actualizen la información,1.0,existe😡😡 actualiz inform
1861,Pésimo servicio por parte de la señorita que atiene en entrada ella dirige y cordina quien ocupa los cajeros yo hiba a realizar una operación en practi caja y ella sin más ni más me la cancelo porque ella dice tener el poder de cancelar las operaciones y que por la falta de cajeros se debe formar uno y esperar el turno para realizar la operación o cuando ella indique si puedes hacerla o no esto es algo in audito ya que Nose si esta persona tenga el poder de realizar esto pero de ser haci es pésimo el trato que maneja,1.0,pesim servici part señorit atien entrad dirig cordin ocup cajer hib realiz oper practi caj cancel dic ten pod cancel oper falt cajer deb form esper turn realiz oper indiqu si pued hac in audit nos si person pod realiz ser haci pesim trat manej
1862,No existe,1.0,exist
1863,"Pesimo servicio, solo estamos dos esperando, 5 ejecutivos y solo atiende 1, los demas platicando, que flojos!!!",1.0,pesim servici sol dos esper 5 ejecut sol atiend 1 dem platic floj
1864,"Nuevo local del banco, los cajeros automáticos es lo único con lo que he tenido contacto, fue rápido, llegue en sábado al mediodía y retire efectivo sin contratiempos.",5.0,nuev local banc cajer automat unic contact rap lleg sab mediod retir efect contratiemp
1865,Pesimo servicio,1.0,pesim servici
1866,Deberían colocar más cajeros automáticos ya que uno tarde demasiado en retirar.,3.0,deb coloc cajer automat tard demasi retir
1867,"Estaba en remodelacion, ¿ya lo abrieron?",3.0,remodelacion ¿ya abrieron
1868,Cerrado!!!,1.0,cerr
1869,El peor servicio de bancomer que he encontrado.,1.0,peor servici bancom encontr
1870,Hacen dar vueltas a lo pendejo.,2.0,hac dar vuelt pendej
1871,Es un banorte no bancomer.,1.0,banort bancom
1873,El mejor servicio de la zona!!!,5.0,mejor servici zon
1875,Cerrada la sucursal y cajeros automáticos,3.0,cerr sucursal cajer automat
1878,No lo recomiendo de noche,4.0,recom noch
1879,Excelente servicio.,5.0,excelent servici
1880,"De las peores sucursales, los que trabajan de cajeros son los peores entrenados de entre los peores, cuando entré y ví que habían hecho cambios de cajeros me alegré porque el trato que daban era deplorable, pero me encontré con el peor de los peores un nuevo cajero llamado JOSE TRINIDAD LOPEZ, bueno, ese se lleva las palmas del peor trato a clientes por siempre, habiendo otras sucursales de BBVA en verdad que hay que evitar esta sucursal.",1.0,peor sucursal trabaj cajer peor entren peor entre vi hech cambi cajer alegr trat dab deplor encontr peor peor nuev cajer llam jos trinid lopez buen llev palm peor trat client siempr sucursal bbva verd evit sucursal
1883,Es el BBVA menos concurrido,5.0,bbva men concurr
1884,Pésima atención al cliente y aparte muy sucia ...,1.0,pesim atencion client apart suci
1885,"Horrible. Del asco. Nunca tienen cambio para darte. Nunca! Ni siquiera un billete de 20. Más que ineptos. No importa si eres cliente o no, te hacen lo que se les da la gana.",1.0,horribl asco nunc cambi dart nunc siqu billet 20 inept import si client hac da gan
1887,Sin medidas de protección contra Covid 19,1.0,med proteccion cov 19
1888,Igual que cualquier otra sucursal de BBVA,2.0,igual cualqui sucursal bbva
1889,Excelente atención,5.0,excelent atencion
1891,Horrible la atención de ejecutivos!!!! Horrible! Uno tiene que esperar mínimo 1:30!,1.0,horribl atencion ejecut horribl esper minim 130
1892,Sin servicio,1.0,servici
1893,"Los ejecutivos son muy lentos, por favor vayan a otra sucursal, o si pueden a otro banco que si haga algo y escuche las quejas y sugerencias",1.0,ejecut lent favor vay sucursal si pued banc si hag escuch quej sugerent
1894,"La atención es pésima, tardan horas en que te atienda un ejecutivo",1.0,atencion pesim tard hor atiend ejecut
1895,"Casi siempre está lleno el banco, hay bastantes cajeros y practicajas.",2.0,casi siempr llen banc bastant cajer practicaj
1898,"Se tardan horas, llevo 1 hora y sigo sin pasar. Además te dicen que si quieres abrir una cuenta bancaria antes de la 1. PESIMO SERVICIO.",1.0,tard hor llev 1 hor sig pas ademas dic si quier abrir cuent bancari 1 pesim servici
1899,"Pésima sucursal, varios ejecutivos y ninguno atiende, dos maltidas horas para una simple reposición",1.0,pesim sucursal vari ejecut ningun atiend dos malt hor simpl reposicion
1901,"Por la noche esta muy solo, pero si te saca del apuro",2.0,noch sol si sac apur
1904,Hay cuatro ejecutivos de cuenta de los cuales tres estan libres y uno ocupado. Pero como siempre hacen esperar a los clientes que tanto les aportamos realmente es indignante,1.0,cuatr ejecut cuent cual tres estan libr ocup siempr hac esper client aport realment indign
1905,Es una sucursal muy céntrica. Tiene varias prácticajas y para hacer retiros.,5.0,sucursal centric vari practicaj hac retir
1906,Pase a sacar dinero,2.0,pas sac diner
1907,La alarma suena toda la noche.,1.0,alarm suen tod noch
1909,Pésimo servicio más incompetente La cajera Sandra Parra es pesima,1.0,pesim servici incompetent cajer sandr parr pesim
1910,Muy buena atención aún que a veces se les junta mucho la gente,5.0,buen atencion aun vec junt gent
1911,Seguro.,4.0,segur
1912,Entras y sales de volada!,5.0,entras sal vol
1915,está en el último piso junto a los elevadores,5.0,ultim pis junt elev
1916,Casi nunca hay fila,5.0,casi nunc fil
1918,El cajero de la planta alta descompuesto,3.0,cajer plant alta descompuest
1919,En el segundo piso. Solo un cajero pero opera bien.,5.0,segund pis sol cajer oper bien
1921,"Las practicajas de ese Bancomer no sirven, se tragan tu dinero y en la línea bbva solo dicen que tienes que comunicarte como a mil números más y nadie te da solución",1.0,practicaj bancom sirv trag diner line bbva sol dic comunicart mil numer nadi da solucion
1922,Trabas para todo,1.0,trab
1923,"En septiembre del 2019 acudimos para aperturar una cuenta empresarial nos atendio Alejandro Martin, cumplimos el año y es la fecha en la cual no no puede darla de alta, su atención es pésima, le he solicitado en repetidas ocasiones, que nos diriga con las personas adecuas y siempre responde que es con él.",1.0,septiembr 2019 acud apertur cuent empresarial atendi alejandr martin cumpl año fech pued darl alta atencion pesim solicit repet ocasion dirig person adecu siempr respond
1924,"Pésima atención. Un ejecutivo que se llama martin me abrió una cuenta (tardó más de 3 meses en hacerlo) y a la fecha mi cuenta de USD no puedo abonarle porque el ejecutivo no actualizo algo en su sistema y eso me esta costando el manejo mensual por no tener el saldo mínimo, les mando correos y nada. Pésimos, Pésimos, Pésimos.",1.0,pesim atencion ejecut llam martin abri cuent tard 3 mes hac fech cuent usd pued abon ejecut actualiz sistem cost manej mensual ten sald minim mand corre pes pes pes
1925,Buenas tardes en unas sucursales dan un pésimo servicio no me an podido dar respuesta de un cheque q deposite,1.0,buen tard unas sucursal dan pesim servici an pod dar respuest chequ q deposit
1926,Quisiera saber cuando abren quedaron en marcarme según muy pendientes de mi caso y eso por que me queje de la antención tan horrible  y nunca tuvieron la atención de marcar desgraciadamente afuerzas tiene que ser ahí para arreglar mi caso,1.0,quis sab abren qued marc segun pendient cas quej antencion tan horribl nunc atencion marc desgraci afuerz ser ahi arregl cas
1927,"Es de lo peor y la chica de la entrada ni si quiera me dejó pasar porque según ella no llevaba documentos para revisar información de mi cuenta de nómina que despota, lo malo es que me obligan a tener ahí la cuenta",1.0,peor chic entrad si quier dej pas segun llev document revis inform cuent nomin despot mal oblig ten ahi cuent
